     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,04/06/2013-04/12/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R035,168TH STREET & BROADWAY       ,00068870,00004973,00000325,00001052,00000146,00031042,00056490,00000000,00000000,00000000,00000127,00000292,00001307,00000296,00002320,00000956,00000793,00000000,00000610,00000000,00000000,00000000,00000000,                                                                                                                               
R036,DYCKMAN STREET                ,00016654,00001415,00000129,00000292,00000003,00011411,00010722,00000000,00000000,00000000,00000011,00000054,00000627,00000008,00000786,00000065,00000054,00000000,00000065,00000000,00000000,00000000,00000000,                                                                                                                               
R037,207TH STREET                  ,00012019,00000802,00000127,00000215,00000001,00012362,00009082,00000000,00000000,00000000,00000027,00000032,00000394,00000023,00000603,00000031,00000043,00000000,00000051,00000000,00000000,00000000,00000000,                                                                                                                               
R038,215TH STREET                  ,00005092,00000392,00000039,00000135,00000002,00002471,00004022,00000000,00000000,00000000,00000001,00000028,00000112,00000001,00000196,00000092,00000023,00000000,00000023,00000000,00000000,00000000,00000000,                                                                                                                               
R039,225TH STREET                  ,00012677,00000817,00000089,00000154,00000060,00008398,00008030,00000000,00000000,00000000,00000011,00000047,00000239,00000048,00000651,00000098,00000035,00000000,00000063,00000000,00000000,00000000,00000000,                                                                                                                               
R040,231ST STREET                  ,00018160,00001615,00000142,00000461,00000002,00010837,00013711,00000000,00000000,00000000,00000087,00000124,00000497,00000010,00000893,00000142,00000107,00000000,00000064,00000000,00000000,00000000,00000000,                                                                                                                               
R041,BOWLING GREEN & BATTERY PL    ,00049589,00002651,00000179,00000470,00000634,00015857,00033916,00000000,00000000,00000000,00002112,00000929,00000371,00001377,00002772,00000806,00000352,00000000,00000351,00000000,00000000,00000000,00000000,                                                                                                                               
R042,BOWLING GREEN & BROADWAY      ,00008726,00000298,00000032,00000076,00000158,00004734,00004457,00000000,00000000,00000000,00000097,00000113,00000013,00000251,00000307,00000143,00000057,00000000,00000142,00000000,00000000,00000000,00000000,                                                                                                                               
R043,WALL STREET                   ,00059786,00002756,00000124,00000397,00000959,00014354,00045817,00000000,00000000,00000000,00000927,00001182,00000166,00002215,00002643,00001238,00000541,00000000,00000479,00000000,00000000,00000000,00000000,                                                                                                                               
R044,BROOKLYN BRIDGE               ,00092113,00005118,00000290,00001193,00000495,00029132,00066197,00000000,00000000,00000000,00000587,00001108,00000536,00001310,00002773,00001379,00000832,00000000,00000748,00000000,00000000,00000000,00000000,                                                                                                                               
R045,42ND STREET & GRAND CENTRAL   ,00083013,00003518,00000087,00000378,00002517,00010719,00029818,00000000,00000000,00000000,00000186,00000818,00000115,00003660,00001760,00002030,00000460,00000000,00000419,00000000,00000000,00000000,00000000,                                                                                                                               
R046,42ND STREET & GRAND CENTRAL   ,00227638,00009277,00000394,00001254,00003856,00050185,00109802,00000000,00000000,00000000,00000842,00002907,00001086,00006599,00006377,00004342,00001283,00000000,00001896,00000000,00000000,00000000,00000000,                                                                                                                               
R047,42ND STREET & GRAND CENTRAL   ,00109950,00005072,00000212,00000741,00001617,00025101,00076752,00000000,00000000,00000000,00000580,00002356,00000213,00003705,00006004,00002472,00000901,00000000,00000642,00000000,00000000,00000000,00000000,                                                                                                                               
R048,42ND STREET & 3RD AVENUE      ,00031289,00001147,00000039,00000196,00000539,00005145,00019988,00000000,00000000,00000000,00000055,00000578,00000027,00000763,00001502,00000823,00000195,00000000,00000121,00000000,00000000,00000000,00000000,                                                                                                                               
R049,51ST STREET & LEXINGTON AVE   ,00060775,00003120,00000118,00000460,00000107,00018552,00042005,00000000,00000000,00000000,00000357,00001259,00000172,00000222,00003539,00001021,00000470,00000000,00000670,00000000,00000000,00000000,00000000,                                                                                                                               
R050,59TH STREET & LEXINGTON AVE   ,00070383,00004039,00000210,00000694,00000354,00022878,00054574,00000000,00000000,00000000,00000391,00001116,00000431,00000750,00003449,00001467,00000510,00000000,00000501,00000000,00000000,00000000,00000000,                                                                                                                               
R051,59TH STREET & LEXINGTON AVE   ,00090955,00005118,00000269,00001040,00000263,00037770,00077017,00000000,00000000,00000000,00000346,00001175,00000270,00000591,00004914,00001675,00000822,00000000,00000498,00000000,00000000,00000000,00000000,                                                                                                                               
R052,WOODLAWN ROAD                 ,00011572,00000887,00000169,00000334,00000014,00009681,00007773,00000000,00000000,00000000,00000032,00000092,00000614,00000009,00000610,00000061,00000006,00000000,00000027,00000000,00000000,00000000,00000000,                                                                                                                               
R053,149TH STREET & 3RD AVENUE     ,00035427,00001773,00000364,00000807,00000016,00036992,00024344,00000000,00000000,00000000,00000068,00000161,00000733,00000011,00002364,00000083,00000067,00000000,00000135,00000000,00000000,00000000,00000000,                                                                                                                               
R054,FIFTH AVENUE & 42ND STREET    ,00029763,00001404,00000054,00000346,00000197,00008523,00022096,00000000,00000000,00000000,00000160,00000559,00000133,00000146,00001144,00000485,00000197,00000000,00000229,00000000,00000000,00000000,00000000,                                                                                                                               
R055,MAIN STREET                   ,00095989,00008134,00000552,00004004,00000023,00043281,00116011,00000000,00000000,00000000,00000185,00000784,00001413,00000087,00003416,00000617,00000268,00000000,00000424,00000000,00000000,00000000,00000000,                                                                                                                               
R056,NEVINS STREET                 ,00024982,00001751,00000227,00000472,00000010,00013926,00017289,00000000,00000000,00000000,00000133,00000101,00000300,00000064,00001180,00000211,00000142,00000000,00000141,00000000,00000000,00000000,00000000,                                                                                                                               
R057,BARCLAYS CENTER               ,00102290,00004911,00000433,00001305,00002418,00037532,00069258,00000000,00000000,00000000,00000227,00000798,00000726,00004328,00003689,00001543,00000853,00000000,00000789,00000000,00000000,00000000,00000000,                                                                                                                               
R058,BERGEN STREET                 ,00009105,00000589,00000041,00000112,00000003,00003080,00010428,00000000,00000000,00000000,00000010,00000123,00000043,00000014,00000652,00000179,00000132,00000000,00000086,00000000,00000000,00000000,00000000,                                                                                                                               
R059,GRAND ARMY PLAZA              ,00017967,00002038,00000105,00000358,00000004,00005661,00018876,00000000,00000000,00000000,00000031,00000285,00000192,00000028,00001468,00000406,00000243,00000000,00000125,00000000,00000000,00000000,00000000,                                                                                                                               
R060,EASTERN PARKWAY               ,00011914,00001306,00000083,00000282,00000001,00005237,00012366,00000000,00000000,00000000,00000013,00000119,00000107,00000016,00000939,00000188,00000153,00000000,00000126,00000000,00000000,00000000,00000000,                                                                                                                               
R061,NOSTRAND AVENUE               ,00008494,00000499,00000096,00000120,00000004,00005987,00006477,00000000,00000000,00000000,00000014,00000061,00000112,00000010,00000404,00000023,00000075,00000000,00000043,00000000,00000000,00000000,00000000,                                                                                                                               
R062,UTICA AVENUE                  ,00052081,00002658,00000589,00001235,00000017,00040635,00036426,00000000,00000000,00000000,00000059,00000312,00000713,00000053,00002953,00000162,00000236,00000000,00000204,00000000,00000000,00000000,00000000,                                                                                                                               
R063,SUTTER AVENUE                 ,00017142,00000783,00000097,00000319,00000001,00012663,00008255,00000000,00000000,00000000,00000005,00000063,00000302,00000016,00000616,00000018,00000047,00000000,00000043,00000000,00000000,00000000,00000000,                                                                                                                               
R064,SARATOGA AVENUE               ,00014316,00000568,00000098,00000146,00000001,00008369,00006043,00000000,00000000,00000000,00000003,00000053,00000147,00000007,00000528,00000022,00000069,00000000,00000051,00000000,00000000,00000000,00000000,                                                                                                                               
R065,ROCKAWAY AVENUE               ,00013335,00000723,00000094,00000210,00000002,00008146,00005227,00000000,00000000,00000000,00000009,00000025,00000319,00000012,00000382,00000017,00000017,00000000,00000038,00000000,00000000,00000000,00000000,                                                                                                                               
R066,JUNIUS STREET                 ,00004584,00000355,00000040,00000047,00000000,00003778,00002303,00000000,00000000,00000000,00000003,00000021,00000086,00000000,00000126,00000007,00000015,00000000,00000015,00000000,00000000,00000000,00000000,                                                                                                                               
R067,PENNSYLVANIA AVENUE           ,00011664,00000541,00000119,00000164,00000003,00008586,00005233,00000000,00000000,00000000,00000010,00000064,00000150,00000011,00000506,00000014,00000021,00000000,00000030,00000000,00000000,00000000,00000000,                                                                                                                               
R068,VAN SICLEN AVENUE             ,00007713,00000384,00000063,00000043,00000000,00005239,00003321,00000000,00000000,00000000,00000011,00000034,00000116,00000003,00000262,00000008,00000022,00000000,00000020,00000000,00000000,00000000,00000000,                                                                                                                               
R069,NEW LOTS AVENUE               ,00011916,00000645,00000125,00000245,00000004,00009997,00006448,00000000,00000000,00000000,00000022,00000045,00000194,00000001,00000430,00000012,00000024,00000000,00000028,00000000,00000000,00000000,00000000,                                                                                                                               
R070,ST GEORGE TERMINAL            ,00028242,00001296,00000020,00000210,00000001,00002841,00007514,00000000,00000000,00000000,00000156,00001051,00000072,00000007,00000524,00000829,00000054,00000000,00000128,00000000,00000000,00000000,00000000,                                                                                                                               
R079,FIFTH AVENUE & 60TH STREET    ,00053373,00002559,00000138,00000481,00000259,00017508,00032514,00000000,00000000,00000000,00000310,00000819,00000342,00000447,00002676,00000914,00000347,00000000,00000430,00000000,00000000,00000000,00000000,                                                                                                                               
R080,57TH STREET & 7TH AVENUE      ,00071211,00005111,00000245,00001052,00000184,00024573,00061616,00000000,00000000,00000000,00000336,00000974,00000333,00000331,00004555,00001412,00000605,00000000,00000674,00000000,00000000,00000000,00000000,                                                                                                                               
R081,49TH STREET & 7TH AVENUE      ,00064719,00002850,00000191,00000745,00000069,00025277,00050961,00000000,00000000,00000000,00000287,00001034,00000233,00000153,00002985,00001098,00000549,00000000,00000767,00000000,00000000,00000000,00000000,                                                                                                                               
R082,28TH STREET & BROADWAY        ,00028423,00001135,00000081,00000348,00000039,00011718,00024994,00000000,00000000,00000000,00000078,00000435,00000199,00000040,00001089,00000454,00000310,00000000,00000367,00000000,00000000,00000000,00000000,                                                                                                                               
R083,23RD STREET & 5TH AVENUE      ,00058765,00002340,00000165,00000470,00000140,00019403,00051453,00000000,00000000,00000000,00000513,00000925,00000146,00000183,00002369,00001253,00000570,00000000,00000543,00000000,00000000,00000000,00000000,                                                                                                                               
R084,59TH STREET/COLUMBUS CIRCLE   ,00190868,00011061,00000629,00002338,00000908,00066896,00139679,00000000,00000000,00000000,00000555,00002087,00001050,00001429,00007216,00003532,00001600,00000000,00001972,00000000,00000000,00000000,00000000,                                                                                                                               
R085,8TH STREET & BROADWAY         ,00044859,00002432,00000122,00000415,00000092,00013419,00041187,00000000,00000000,00000000,00000153,00000461,00000150,00000257,00001670,00000885,00000447,00000000,00000564,00000000,00000000,00000000,00000000,                                                                                                                               
R086,PRINCE STREET & BROADWAY      ,00042257,00001175,00000071,00000232,00000040,00017044,00032313,00000000,00000000,00000000,00000166,00000350,00000108,00000103,00001244,00000532,00000333,00000000,00000646,00000000,00000000,00000000,00000000,                                                                                                                               
R087,CITY HALL                     ,00017442,00001157,00000062,00000201,00000017,00004751,00013095,00000000,00000000,00000000,00000176,00000258,00000139,00000046,00000451,00000240,00000172,00000000,00000150,00000000,00000000,00000000,00000000,                                                                                                                               
R088,CORTLANDT STREET              ,00018489,00000455,00000022,00000100,00000012,00007046,00007450,00000000,00000000,00000000,00000109,00000201,00000047,00000031,00000429,00000232,00000084,00000000,00000330,00000000,00000000,00000000,00000000,                                                                                                                               
R089,JAY ST-METROTECH              ,00008642,00000455,00000038,00000077,00000015,00002078,00006358,00000000,00000000,00000000,00000063,00000144,00000076,00000031,00000187,00000159,00000055,00000000,00000063,00000000,00000000,00000000,00000000,                                                                                                                               
R090,39TH AVENUE & 31ST STREET     ,00007681,00000277,00000032,00000117,00000008,00005904,00004927,00000000,00000000,00000000,00000040,00000037,00000078,00000005,00000221,00000036,00000035,00000000,00000094,00000000,00000000,00000000,00000000,                                                                                                                               
R091,36TH AVENUE & 31ST STREET     ,00017394,00000870,00000061,00000208,00000007,00007931,00019053,00000000,00000000,00000000,00000025,00000151,00000241,00000036,00000730,00000133,00000166,00000000,00000104,00000000,00000000,00000000,00000000,                                                                                                                               
R092,BROADWAY & 31ST STREET        ,00029571,00001751,00000108,00000462,00000012,00010249,00037071,00000000,00000000,00000000,00000032,00000269,00000513,00000043,00001686,00000330,00000454,00000000,00000171,00000000,00000000,00000000,00000000,                                                                                                                               
R093,30TH AVENUE & 31ST STREET     ,00033790,00001556,00000122,00000410,00000004,00013451,00039381,00000000,00000000,00000000,00000011,00000255,00000575,00000048,00001967,00000393,00000425,00000000,00000153,00000000,00000000,00000000,00000000,                                                                                                                               
R094,ASTORIA BLVD & 31ST STREET    ,00027744,00001109,00000060,00000255,00000023,00011004,00030183,00000000,00000000,00000000,00000021,00000319,00000329,00000022,00001620,00000305,00000255,00000000,00000185,00000000,00000000,00000000,00000000,                                                                                                                               
R095,DITMARS BLVD & 31ST STREET    ,00039114,00001943,00000125,00000293,00000019,00012644,00042404,00000000,00000000,00000000,00000024,00000542,00000947,00000021,00001980,00000481,00000470,00000000,00000169,00000000,00000000,00000000,00000000,                                                                                                                               
R096,82ND STREET-JACKSON HEIGHTS   ,00037857,00003182,00000269,00000684,00000008,00022605,00025493,00000000,00000000,00000000,00000028,00000167,00000675,00000028,00000986,00000166,00000116,00000000,00000146,00000000,00000000,00000000,00000000,                                                                                                                               
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00058871,00001654,00000170,00000413,00000018,00034212,00024140,00000000,00000000,00000000,00000015,00000117,00000547,00000000,00000963,00000116,00000077,00000000,00000139,00000000,00000000,00000000,00000000,                                                                                                                               
R098,CHURCH AVENUE                 ,00034925,00002125,00000270,00000755,00000013,00023709,00028510,00000000,00000000,00000000,00000049,00000213,00000355,00000017,00001892,00000136,00000232,00000000,00000174,00000000,00000000,00000000,00000000,                                                                                                                               
R099,DEKALB AVENUE                 ,00036673,00002027,00000134,00000751,00000023,00013815,00035108,00000000,00000000,00000000,00000066,00000371,00000339,00000093,00001872,00000504,00000355,00000000,00000257,00000000,00000000,00000000,00000000,                                                                                                                               
R100,METROPOLITAN AVENUE           ,00008256,00000379,00000022,00000130,00000001,00003648,00005233,00000000,00000000,00000000,00000006,00000136,00000096,00000001,00000279,00000106,00000017,00000000,00000026,00000000,00000000,00000000,00000000,                                                                                                                               
R101,145TH STREET                  ,00045968,00001975,00000277,00000805,00000022,00035531,00049967,00000000,00000000,00000000,00000062,00000209,00000626,00000045,00002388,00000303,00000468,00000000,00000282,00000000,00000000,00000000,00000000,                                                                                                                               
R102,125TH STREET                  ,00056242,00003123,00000561,00001393,00000057,00041548,00048783,00000000,00000000,00000000,00000083,00000253,00001089,00000125,00002855,00000410,00000363,00000000,00000476,00000000,00000000,00000000,00000000,                                                                                                                               
R103,BROADWAY-EAST NEW YORK        ,00022103,00000903,00000223,00000443,00000007,00018003,00012129,00000000,00000000,00000000,00000018,00000078,00000513,00000008,00000748,00000033,00000052,00000000,00000130,00000000,00000000,00000000,00000000,                                                                                                                               
R104,167TH ST-GRAND CONCOURSE      ,00018777,00000805,00000118,00000227,00000003,00017203,00011536,00000000,00000000,00000000,00000008,00000094,00000431,00000006,00000861,00000043,00000040,00000000,00000078,00000000,00000000,00000000,00000000,                                                                                                                               
R105,14TH STREET & 7TH AVENUE      ,00063746,00005638,00000329,00001299,00000160,00023653,00054072,00000000,00000000,00000000,00000173,00000843,00000356,00000327,00003262,00001138,00000654,00000000,00000680,00000000,00000000,00000000,00000000,                                                                                                                               
R106,CASTLE HILL AVENUE            ,00016432,00000773,00000124,00000192,00000006,00010540,00009361,00000000,00000000,00000000,00000041,00000095,00000287,00000004,00000807,00000042,00000034,00000000,00000058,00000000,00000000,00000000,00000000,                                                                                                                               
R107,WESTCHESTER SQUARE            ,00011291,00000679,00000092,00000209,00000005,00008125,00007790,00000000,00000000,00000000,00000070,00000035,00000263,00000008,00000409,00000093,00000036,00000000,00000054,00000000,00000000,00000000,00000000,                                                                                                                               
R108,BOROUGH HALL - COURT STREET   ,00092915,00007620,00000422,00001515,00000421,00030468,00071794,00000000,00000000,00000000,00000491,00000995,00000703,00000905,00004468,00001478,00000792,00000000,00000590,00000000,00000000,00000000,00000000,                                                                                                                               
